src_dir,source,target,resolved
terraform/modules/iam-users,./users,terraform/modules/iam-users/users,True
resources/terraforms/admiral,../../modules/cluster,resources/modules/cluster,False
resources/terraforms/cloudtrail,../../modules/cloudtrail,resources/modules/cloudtrail,False
resources/terraforms/efs,../../modules/efs-target,resources/modules/efs-target,False
resources/terraforms/etcd,../../modules/cluster,resources/modules/cluster,False
resources/terraforms/vault,../../modules/asg-with-elb,resources/modules/asg-with-elb,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
resources/terraforms/vpc,../../modules/subnet,resources/modules/subnet,False
